City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oshnaviyeh,37.0397,45.0983,284.59,68,33,2.63,IR,1697668118
1,ilulissat,69.2167,-51.1,263.16,67,75,1.54,GL,1697668118
2,new norfolk,-42.7826,147.0587,288.55,50,98,1.05,AU,1697668118
3,rongelap,11.1635,166.8941,300.14,80,100,6.7,MH,1697668118
4,adamstown,-25.066,-130.1015,295.89,78,65,3.3,PN,1697667991
5,iskateley,67.6803,53.1512,274.27,89,100,4.02,RU,1697668118
6,ruteng,-8.6136,120.4721,289.39,61,99,0.5,ID,1697668118
7,newnham,-41.3833,147.1333,286.3,76,53,2.57,AU,1697668119
8,sankt johann,48.454,9.344,284.07,79,100,0.45,DE,1697668119
9,kapa'a,22.0752,-159.319,302.33,63,40,4.63,US,1697668119
10,maracaibo,10.6317,-71.6406,304.29,61,15,4.66,VE,1697668102
11,la passe,45.5549,-0.8967,289.81,89,74,4.91,FR,1697668119
12,port-aux-francais,-49.35,70.2167,275.98,93,100,8.85,TF,1697668119
13,tiksi,71.6872,128.8694,265.34,97,100,2.34,RU,1697668119
14,ichinoseki,38.9167,141.1333,286.08,82,97,0.72,JP,1697668119
15,palmerston,-12.486,130.9833,300.31,83,0,0.0,AU,1697668119
16,rakops,-21.0167,24.3333,294.86,34,0,3.73,BW,1697668119
17,kerikeri,-35.2268,173.9474,288.7,95,100,3.85,NZ,1697668119
18,lebu,-37.6167,-73.65,286.31,73,6,5.07,CL,1697668119
19,mont-dore,-22.2833,166.5833,297.04,99,37,4.34,NC,1697668119
20,greymouth,-42.4667,171.2,285.25,66,83,1.57,NZ,1697667998
21,olonkinbyen,70.9221,-8.7187,276.73,88,100,10.41,SJ,1697668119
22,hithadhoo,-0.6,73.0833,299.52,82,72,3.39,MV,1697668014
23,richards bay,-28.783,32.0377,292.26,94,6,1.43,ZA,1697668120
24,blackmans bay,-43.0167,147.3167,287.89,83,92,0.45,AU,1697668120
25,dhuusamarreeb,5.535,46.3861,299.68,74,69,4.95,SO,1697668120
26,uturoa,-16.7333,-151.4333,299.49,77,36,5.59,PF,1697668042
27,whitehorse,60.7161,-135.0538,280.98,93,100,6.17,CA,1697668120
28,puerto natales,-51.7236,-72.4875,284.43,78,92,1.72,CL,1697668120
29,nyurba,63.2842,118.3319,259.88,96,67,2.68,RU,1697668120
30,anadyr,64.75,177.4833,264.43,78,0,5.0,RU,1697668043
31,albany,42.6001,-73.9662,286.51,81,100,0.94,US,1697668120
32,afaahiti,-17.75,-149.2833,298.08,83,95,8.06,PF,1697668018
33,isafjordur,66.0755,-23.124,279.35,80,100,3.51,IS,1697668120
34,edinburgh of the seven seas,-37.0676,-12.3116,286.08,93,100,11.89,SH,1697668120
35,port elizabeth,-33.918,25.5701,290.55,94,20,3.09,ZA,1697668120
36,holualoa,19.6228,-155.9522,300.8,72,40,4.63,US,1697668120
37,machico,32.7,-16.7667,297.43,76,20,2.06,PT,1697668120
38,port mathurin,-19.6833,63.4167,296.59,82,33,4.73,MU,1697668120
39,kuala tungkal,-0.8167,103.4667,298.92,87,99,1.42,ID,1697668120
40,iqaluit,63.7506,-68.5145,272.0,92,100,4.12,CA,1697668121
41,waitangi,-43.9535,-176.5597,286.94,79,100,4.47,NZ,1697668121
42,praia da vitoria,38.7333,-27.0667,294.13,94,75,8.47,PT,1697668121
43,istgah-e rah ahan-e garmsar,35.2346,52.3094,293.31,39,1,1.72,IR,1697668121
44,tangalle,6.024,80.7911,297.43,91,100,4.47,LK,1697668121
45,tazovsky,67.4667,78.7,277.52,93,100,5.81,RU,1697668121
46,cidreira,-30.1811,-50.2056,290.02,76,100,3.92,BR,1697668032
47,vimmerby,57.6659,15.8552,277.75,71,100,1.47,SE,1697668121
48,yellowknife,62.456,-114.3525,280.05,100,100,4.63,CA,1697667927
49,avarua,-21.2078,-159.775,298.18,57,20,4.12,CK,1697668121
50,noyabrsk,63.1994,75.4507,279.95,92,100,5.36,RU,1697668121
51,erenhot,43.6475,111.9767,276.3,44,0,3.05,CN,1697668121
52,ola,59.5833,151.2833,271.16,42,5,2.82,RU,1697668072
53,nova sintra,14.8667,-24.7167,298.08,70,0,3.77,CV,1697668121
54,chonchi,-42.6128,-73.8092,285.71,74,40,0.72,CL,1697668121
55,bethel,41.3712,-73.414,288.45,76,100,2.57,US,1697668091
56,spring creek,40.7266,-115.5859,296.15,28,1,2.77,US,1697667905
57,lamu,-2.2717,40.902,300.27,88,99,4.3,KE,1697668121
58,sovetskaya gavan',48.9723,140.2878,281.54,80,100,6.26,RU,1697668122
59,grytviken,-54.2811,-36.5092,276.11,87,100,4.43,GS,1697668122
60,atafu village,-8.5421,-172.5159,301.74,72,34,3.61,TK,1697668122
61,altai,46.3722,96.2583,272.75,58,0,0.61,MN,1697668122
62,nantucket,41.2835,-70.0995,287.59,80,20,2.06,US,1697668122
63,hawaiian paradise park,19.5933,-154.9731,302.06,72,0,5.14,US,1697667995
64,liwale,-9.7667,37.9333,295.09,80,18,3.02,TZ,1697668122
65,antalaha,-14.9003,50.2788,295.44,94,45,1.78,MG,1697668122
66,huazhou,21.6333,110.5833,295.9,97,100,4.31,CN,1697668122
